2015-07-25 23:37:58,147,time,thermocouple_index,thermocouple_temp
2015-07-25 23:49:17,640,679.493574858,1,459.644800
2015-07-25 23:49:19,400,681.253308058,0,348.871200
2015-07-25 23:49:19,720,681.573608875,1,459.899200
2015-07-25 23:49:20,136,681.989575863,1,460.173800
2015-07-25 23:49:20,584,682.437496901,1,460.384000
2015-07-25 23:49:21,128,682.981611967,1,460.599800
2015-07-25 23:49:22,248,684.10165,0,349.082200
2015-07-25 23:49:22,312,684.165315866,1,460.368200
2015-07-25 23:49:22,952,684.805721045,1,460.599800
2015-07-25 23:49:23,144,684.997344971,1,460.384000
2015-07-25 23:49:24,040,685.893619061,1,460.173800
2015-07-25 23:49:24,744,686.597661972,1,459.931000
2015-07-25 23:49:25,224,687.077422857,1,459.612600
2015-07-25 23:49:26,024,687.877435923,1,459.354200
2015-07-25 23:49:26,184,688.037657976,2,861.492200
2015-07-25 23:49:26,536,688.389513969,0,349.308800
2015-07-25 23:49:27,400,689.253512859,1,459.143600
2015-07-25 23:49:28,968,690.821420908,0,349.535200
2015-07-25 23:49:29,096,690.949359894,1,458.900600
2015-07-25 23:49:29,128,690.981545925,0,349.304200
2015-07-25 23:49:29,352,691.205445051,1,459.143600
2015-07-25 23:49:29,768,691.62152195,0,349.530600
2015-07-25 23:49:29,832,691.685359955,1,459.402000
2015-07-25 23:49:30,472,692.325680017,1,459.656200
2015-07-25 23:49:30,856,692.709481955,1,459.899200
2015-07-25 23:49:31,176,693.029325962,1,460.157600
2015-07-25 23:49:31,464,693.31750989,1,460.400200
2015-07-25 23:49:31,848,693.701508045,1,460.627200
2015-07-25 23:49:32,136,693.989446878,1,460.885800
2015-07-25 23:49:32,520,694.373554945,0,349.778200
2015-07-25 23:49:32,744,694.597507,2,861.696600
2015-07-25 23:49:32,776,694.629431009,1,461.128200
2015-07-25 23:49:34,216,696.069604874,1,460.869800
2015-07-25 23:49:35,080,696.93351984,1,460.654600
2015-07-25 23:49:35,912,697.765535831,1,460.897200
2015-07-25 23:49:36,104,697.957561016,0,350.016200
2015-07-25 23:49:36,136,697.989434004,1,461.112200
2015-07-25 23:49:36,488,698.341567039,1,461.318600
2015-07-25 23:49:36,808,698.661519051,1,461.533800
2015-07-25 23:49:37,224,699.077412844,1,461.744000
2015-07-25 23:49:37,960,699.813519955,1,461.998600
2015-07-25 23:49:38,312,700.165576935,1,462.245800
2015-07-25 23:49:38,472,700.325414896,0,350.231200
2015-07-25 23:49:38,473,700.325902939,1,462.472200
2015-07-25 23:49:39,880,701.733432055,1,462.257200
2015-07-25 23:49:40,328,702.181438923,1,462.046600
